x,ecdf_n10,ecdf_n100,ecdf_n1000,F1
-4.411994015069179,0.0072,0.0044,0.003,24.202922631049436
-4.4019440901986915,0.0074,0.0046,0.0032,24.065364634245412
-4.391894165328205,0.0074,0.0048,0.0032,23.92938706270454
-4.381844240457719,0.0076,0.005,0.0032,23.794947073474646
-4.371794315587231,0.0078,0.005,0.0034,23.66200230972705
-4.361744390716744,0.008,0.0052,0.0034,23.530510893508197
-4.351694465846258,0.0082,0.0052,0.0038,23.400431419065054
-4.341644540975771,0.0082,0.0052,0.0038,23.27172294667109
-4.331594616105284,0.0082,0.0052,0.0038,23.144344996973974
-4.321544691234798,0.0082,0.0054,0.004,23.01825754591782
-4.31149476636431,0.0088,0.0056,0.0042,22.893421020232164
-4.301444841493824,0.009,0.0056,0.0046,22.769796293455734
-4.291394916623337,0.0094,0.006,0.0046,22.647344682508653
-4.28134499175285,0.01,0.0062,0.0046,22.526027944844735
-4.271295066882363,0.0102,0.0064,0.005,22.405808276166027
-4.261245142011877,0.0104,0.0066,0.005,22.286648308679602
-4.25119521714139,0.0106,0.007,0.0052,22.168511109916505
-4.241145292270903,0.0112,0.0072,0.0052,22.05136018213385
-4.231095367400416,0.0114,0.0074,0.0054,21.93515946228027
-4.221045442529929,0.0116,0.0074,0.0056,21.819873322485556
-4.210995517659443,0.012,0.008,0.0058,21.70546657110305
-4.200945592788956,0.0124,0.0084,0.006,21.591904454342806
-4.190895667918469,0.0126,0.0084,0.0062,21.479152658457092
-4.180845743047982,0.013,0.0086,0.0062,21.36717731246108
-4.170795818177496,0.0134,0.0088,0.0066,21.255944991340662
-4.160745893307008,0.0134,0.0092,0.0066,21.14542271976202
-4.150695968436522,0.014,0.0092,0.0072,21.035577976386
-4.140646043566035,0.0146,0.0092,0.0076,20.92637869872886
-4.130596118695548,0.0156,0.0096,0.0076,20.81779328846245
-4.120546193825062,0.0156,0.0096,0.0076,20.709790617196866
-4.1104962689545745,0.0158,0.0096,0.0078,20.60234003267593
-4.100446344084087,0.0162,0.0098,0.0078,20.495411365378978
-4.090396419213601,0.0166,0.0102,0.0078,20.388974935714838
-4.0803464943431145,0.0172,0.0106,0.0078,20.283001561717487
-4.070296569472627,0.0172,0.0108,0.008,20.17746256706182
-4.060246644602141,0.0174,0.011,0.008,20.0723297893647
-4.0501967197316535,0.0184,0.0112,0.008,19.967575588894007
-4.040146794861167,0.0184,0.0112,0.0082,19.86317285754664
-4.03009686999068,0.0186,0.0116,0.0084,19.75909502809997
-4.0200469451201934,0.0188,0.012,0.0086,19.65531608396894
-4.009997020249706,0.0188,0.0122,0.009,19.551810569272355
-3.9999470953792198,0.0192,0.0126,0.0092,19.448553599014094
-3.989897170508733,0.0196,0.0128,0.0094,19.345520869338976
-3.979847245638246,0.0196,0.0128,0.0096,19.24268866799011
-3.9697973207677593,0.0202,0.0128,0.0098,19.140033884915347
-3.9597473958972724,0.0204,0.0128,0.0102,19.03753402294696
-3.949697471026786,0.0214,0.013,0.0104,18.935167208666144
-3.9396475461562988,0.022,0.0132,0.0108,18.832912203327787
-3.9295976212858124,0.0222,0.0132,0.0108,18.730748413686403
-3.919547696415325,0.0232,0.0136,0.0116,18.62865590270789
-3.9094977715448387,0.0234,0.0146,0.0116,18.526615400196167
-3.8994478466743514,0.024,0.0146,0.0122,18.42460831328527
